Id|Sponsor|Status|Start|Completion|Type|Submission|Conditions|Interventions,,,,,,,,,,,,
NCT02752932|Lawson Health Research Institute|Completed|Nov 2015|Oct 2017|Interventional|Feb 2016|Carcinoma,Squamous Cell Carcinoma of Head and Neck,Neoplasms|,,,,,,,,,,
NCT02759445|RWTH Aachen University|Unknown status|Apr 2016|Oct 2016|Observational|Nov 2015||,,,,,,,,,,,,
NCT02754622|Guy's and St Thomas' NHS Foundation Trust|Completed|Jul 2016|Dec 2016|Observational|Apr 2016|Critical Illness|,,,,,,,,,,,,
NCT02756611|AbbVie|Active, not recruiting|Jun 2016|Sep 2022|Interventional|Apr 2016|Leukemia|Venetoclax,,,,,,,,,,,
NCT02758223|Wuerzburg University Hospital|Active, not recruiting|Apr 2016|Jun 2021|Interventional|Feb 2016|Leukemia,Myelodysplastic Syndromes|,,,,,,,,,,
NCT02757079|Nobelpharma|Completed|Jun 2016|Jul 2018|Interventional|Apr 2016|Sleep Wake Disorders,Parasomnias,Disease,Neurodevelopmental Disorders|Melatonin,,,,,,,,,
NCT02754219|Dong-A ST Co., Ltd.|Completed|Sep 2016|Jan 2018|Interventional|Apr 2016|Liver Diseases|,,,,,,,,,,,
NCT02753101|Stanford University|Completed|Feb 2016|Feb 2017|Interventional|Apr 2016|Complex Regional Pain Syndromes,Reflex Sympathetic Dystrophy,Sciatica|,,,,,,,,,,
NCT02759003|Fondazione Salvatore Maugeri|Completed|Mar 2011|Mar 2014|Interventional|Apr 2016|Motor Neuron Disease,Amyotrophic Lateral Sclerosis,Sclerosis|,,,,,,,,,,
NCT02752659|University of British Columbia|Completed|Jun 2016|Jun 2017|Interventional|Apr 2016|Breast Neoplasms,Lymphedema|,,,,,,,,,,,
NCT02758912|Burnasyan Federal Medical Biophysical Center|Completed|Nov 2016|Oct 2019|Interventional|Apr 2016|Stroke,Angina Pectoris,Infarction,Hemorrhage|,,,,,,,,,
NCT02754388|National Taiwan University Hospital|Completed|Feb 2016|Dec 2019|Observational [Patient Registry]|Apr 2016|Lung Neoplasms|,,,,,,,,,,,,
NCT02759666|Atridia Pty Ltd.|Completed|Jun 2016|Apr 2019|Interventional|Apr 2016|Neoplasms|,,,,,,,,,,,,
NCT02750241|The University of Texas Medical Branch, Galveston|Completed|Apr 2016|Jan 2019|Interventional|Apr 2016|Breast Neoplasms|,,,,,,,,,,,
NCT02752568|Kasr El Aini Hospital|Unknown status|May 2016|Dec 2016|Interventional|Apr 2016||,,,,,,,,,,,,
NCT02758015|University of California, San Francisco|Completed|Jun 2016|Mar 2018|Interventional|Apr 2016||Betaine,,,,,,,,,,,
NCT02756884|Arkansas Heart Hospital|Completed|Jun 2015|Jan 2019|Interventional|Apr 2016|Peripheral Arterial Disease,Peripheral Vascular Diseases|,,,,,,,,,,,
NCT02758353|JSI Research & Training Institute, Inc.|Completed|Apr 2015|Nov 2015|Interventional|Apr 2016|Malaria,Stillbirth|,,,,,,,,,,
NCT02753751|Yale University|Completed|Mar 2018|Jan 2020|Interventional|Apr 2016|Acute Kidney Injury,Wounds and Injuries|,,,,,,,,,,,
NCT02757170|All India Institute of Medical Sciences, New Delhi|Unknown status|Jul 2015|Jul 2016|Interventional|Apr 2016|Liver Failure,Hepatic Insufficiency,End Stage Liver Disease,Acute-On-Chronic Liver Failure|,,,,,,,,
NCT02757625|Pfizer|Completed|Jul 2016|May 2017|Interventional|Apr 2016||Dexmedetomidine,,,,,,,,,,,,
NCT02752347|Riyadh Colleges of Dentistry and Pharmacy|Unknown status|Apr 2016|Dec 2017|Interventional|Apr 2016|Malocclusion|,,,,,,,,,,,,
NCT02756468|University of Roma La Sapienza|Unknown status|Jan 2015|Dec 2016|Observational [Patient Registry]|Apr 2016|Pancreatic Neoplasms|,,,,,,,,,,,,
NCT02750410|Eli Lilly and Company|Completed|Aug 2016|Jun 2018|Interventional|Apr 2016|Diabetes Mellitus|Dulaglutide,,,,,,,,,,,,
NCT02755389|Nova Scotia Health Authority|Completed|Sep 2016|Jun 2018|Interventional|Apr 2016|Apnea|,,,,,,,,,,,,
NCT02755168|Assiut University|Unknown status|May 2017|May 2018|Interventional|Apr 2016||,,,,,,,,,,,,
NCT02751567|Bayer|Withdrawn|May 2016|Jun 2016|Interventional|Apr 2016|Dermatitis|,,,,,,,,,,,,
NCT02755558|Penn State University|Completed|Sep 2014|May 2015|Interventional|Apr 2016||,,,,,,,,,,,,
NCT02757547|Electrical Geodesics, Inc.|Terminated|Sep 2015|Nov 2017|Interventional|Apr 2016|Epilepsy|,,,,,,,,,,,
NCT02752828|Sanofi|Completed|May 2016|Mar 2018|Interventional|Apr 2016|Diabetes Mellitus|Insulin,Insulin Glargine,Lixisenatide,Hypoglycemic Agents,,,,,,,,,
NCT02756715|Konkuk University Medical Center|Completed|May 2016|Feb 2020|Interventional|Apr 2016|Vascular System Injuries,Ischemia|Propofol,Desflurane,,,,,,,,,,
NCT02756117|Vanderbilt University|Completed|May 2016|Oct 2016|Interventional|Apr 2016|Prediabetic State|,,,,,,,,,,,,
NCT02753205|Gachon University Gil Medical Center|Withdrawn|Apr 2016|Apr 2018|Interventional|Apr 2016|Intracranial Hypertension|Dexmedetomidine,,,,,,,,,,,,
NCT02756221|Tel Hai College|Completed|Mar 2016|Apr 2018|Interventional|Apr 2016|Respiratory Tract Infections,Gastroenteritis|,,,,,,,,,,,
NCT02755675|Rigshospitalet, Denmark|Recruiting|Apr 2016|Oct 2023|Interventional|Apr 2016|Carcinoma,Lung Neoplasms,Mesothelioma|,,,,,,,,,
NCT02754037|University of California, Davis|Recruiting|Apr 2016|Jun 2024|Observational|Apr 2016|Liver Diseases,Fatty Liver,Non-alcoholic Fatty Liver Disease,Inflammation|Fluorodeoxyglucose F18,,,,,,,,
NCT02750306|Merck Sharp & Dohme Corp.|Completed|May 2016|Sep 2018|Interventional|Apr 2016|Alzheimer Disease,Sleep Initiation and Maintenance Disorders|Suvorexant,,,,,,,,,,,
NCT02756403|Medstar Health Research Institute|Completed|Mar 2016|Jul 2017|Interventional|Mar 2016||Azithromycin,Metronidazole,Doxycycline,,,,,,,,,,
NCT02759653|Haukeland University Hospital|Completed|May 2016|Dec 2018|Observational|Apr 2016|Stroke,Ischemic Stroke,Carotid Artery Diseases,Embolic Stroke|,,,,,,,,,
NCT02753920|Northwell Health|Completed|Mar 2016|Jul 2018|Interventional|Apr 2016|Prolapse|,,,,,,,,,,,,
NCT02759367|Samuel Lunenfeld Research Institute, Mount Sinai Hospital|Completed|Mar 2008|Jun 2015|Interventional|Dec 2015|Hypertension|,,,,,,,,,,,
NCT02752997|Mayo Clinic|Completed|Dec 2015|Mar 2016|Interventional|Apr 2016|Heart Failure|,,,,,,,,,,,,
NCT02750059|South East Asia Research Collaboration with Hawaii|Completed|Jan 2015|Feb 2018|Interventional|May 2015|Infections,Communicable Diseases,HIV Infections,Acquired Immunodeficiency Syndrome|Tenofovir,Lamivudine,Efavirenz,Telmisartan,,,,,,
NCT02754505|Danube Hospital|Completed|Feb 2008|Dec 2011|Interventional|Mar 2016|Critical Illness|,,,,,,,,,,,,
NCT02751736|Seoul National University Hospital|Unknown status|Apr 2016|Dec 2017|Interventional|Apr 2016|Rectal Neoplasms|,,,,,,,,,,,,
NCT02750930|GlaxoSmithKline|Terminated|Oct 2016|Mar 2017|Interventional|Apr 2016|Diabetes Mellitus|rGLP-1 protein,,,,,,,,,,,,
NCT02753582|Indonesia University|Unknown status|Apr 2016|Apr 2017|Interventional|Apr 2016|Frailty|,,,,,,,,,,,,
NCT02750722|University of Zurich|Completed|May 2016|Jan 2017|Interventional|Apr 2016|Cystic Fibrosis,Fibrosis|,,,,,,,,,,,
NCT02756793|Lawson Health Research Institute|Active, not recruiting|Oct 2016|Jun 2026|Interventional|Apr 2016|Neoplasm Metastasis,Neoplasms|,,,,,,,,,,
NCT02750436|Montreal General Hospital|Completed|Apr 2016|Jul 2016|Interventional|Apr 2016|Back Pain|,,,,,,,,,,,,
NCT02755922|Instituto Mexicano del Seguro Social|Completed|Apr 2010|Dec 2010|Interventional|Apr 2016|Mandibular Fractures|,,,,,,,,,,,,
NCT02755493|Brigham and Women's Hospital|Completed|Apr 2016|May 2018|Interventional|Apr 2016|Sleep Deprivation|,,,,,,,,,,,,
NCT02750397|Massachusetts General Hospital|Active, not recruiting|Aug 2016|Dec 2024|Observational|Apr 2016||,,,,,,,,,,,
NCT02753621|Johns Hopkins University|Completed|Dec 2015|Dec 2016|Interventional|Apr 2016|Parkinson Disease|,,,,,,,,,,,,
NCT02754154|Bristol-Myers Squibb|Unknown status|Dec 2014|Feb 2019|Observational|Apr 2016|Atrial Fibrillation|Warfarin,Rivaroxaban,Dabigatran,Apixaban,,,,,,,,,
NCT02753049|New York University|Unknown status|Nov 2016|Aug 2018|Interventional|Apr 2016|HIV Infections,Acquired Immunodeficiency Syndrome|,,,,,,,,,,,
NCT02750813|Alcon, a Novartis Company|Completed|Apr 2016|Aug 2016|Interventional|Apr 2016|Refractive Errors|,,,,,,,,,,,
NCT02756975|Modarres Hospital|Completed|Dec 2014|Dec 2015|Interventional|Apr 2016||,,,,,,,,,,,,
NCT02759601|Queen Mary University of London|Unknown status|Jan 2013|Dec 2018|Interventional|Oct 2014|Carcinoma|,,,,,,,,,,,,
NCT02757326|RedHill Biopharma Limited|Terminated|Dec 2016|May 2019|Interventional|Mar 2016|Multiple Myeloma,Neoplasms|,,,,,,,,,,,
NCT02758236|Ina-Respond|Active, not recruiting|Feb 2017|Dec 2021|Observational|Apr 2016|Tuberculosis|,,,,,,,,,,,
NCT02754804|University Hospital, Angers|Completed|Jul 2016|Mar 2020|Observational|Apr 2016|Peripheral Arterial Disease|,,,,,,,,,,,
NCT02756065|Washington University Early Recognition Center|Completed|Sep 2014|Aug 2019|Observational|Jun 2015|Schizophrenia,Bipolar Disorder|,,,,,,,,,,,
NCT02756247|Memorial Sloan Kettering Cancer Center|Active, not recruiting|May 2016|May 2022|Interventional|Apr 2016|Lymphoma|,,,,,,,,,,,
NCT02755857|Mayne Pharma International Pty Ltd|Completed|Jul 2016|Jan 2017|Interventional|Apr 2016|Neutropenia|Itraconazole,,,,,,,,,,,,
NCT02750111|Dr. Orit Hamiel|Unknown status|May 2016|May 2018|Observational|Apr 2016|Diabetes Mellitus|,,,,,,,,,,,,
NCT02755948|Imperial College London|Recruiting|Apr 2012|Mar 2023|Interventional|Apr 2016|Influenza,Virus Diseases,Respiratory Syncytial Virus Infections|,,,,,,,,,,
NCT02754089|Shiraz University of Medical Sciences|Completed|May 2016|Sep 2016|Interventional|Apr 2016|Body Weight|,,,,,,,,,,,,
NCT02756169|Universidad Iberoamericana A.C., Mexico|Completed|Jul 2016|Feb 2018|Interventional|Apr 2016|Obesity|,,,,,,,,,,,
NCT02757664|Federal University of São Paulo|Completed|Feb 2017|Jun 2020|Interventional|Apr 2016|Tendinopathy|,,,,,,,,,,,,
NCT02757989|Groupe Francophone des Myelodysplasies|Active, not recruiting|May 2016|Jun 2024|Interventional|Mar 2016|Preleukemia,Myelodysplastic Syndromes|,,,,,,,,,,
NCT02755038|Bnai Zion Medical Center|Unknown status|Mar 2016|Mar 2017|Observational|Apr 2016||,,,,,,,,,,,,
NCT02759354|MCM Vaccines B.V.|Completed|Apr 2016|Aug 2016|Interventional|Apr 2016|Hepatitis A,Hepatitis B,Whooping Cough,Hepatitis|,,,,,,,,,
NCT02750254|Washington University School of Medicine|Terminated|Jun 2016|Oct 2020|Interventional|Apr 2016|Leukemia,Precursor Cell Lymphoblastic Leukemia-Lymphoma,Myelodysplastic Syndromes|Plerixafor,Cyclophosphamide,Melphalan,Busulfan,Fludarabine,Azacitidine,Lenograstim,Sargramostim,,,
NCT02755025|Mayo Clinic|Completed|Jul 2016|Aug 2016|Observational|Mar 2016|Sepsis|,,,,,,,,,,,,
NCT02757703|Kaohsiung Veterans General Hospital.|Completed|May 2010|Jan 2015|Interventional|Apr 2016|Hemorrhage|Terlipressin,Pantoprazole,Somatostatin,,,,,,,,,,
NCT02758899|Washington University School of Medicine|Terminated|Mar 2014|Aug 2016|Observational|Apr 2016|Spondylosis,Spinal Cord Diseases,Diabetes Mellitus|,,,,,,,,,,
NCT02751450|GlaxoSmithKline|Completed|Feb 2016|Jun 2016|Interventional|Apr 2016|Dentin Sensitivity,Hypersensitivity|Fluorides,Tin Fluorides,Fluorophosphate,,,,,,,,,
NCT02759497|Tanta University|Unknown status|Mar 2016|Nov 2020|Observational|May 2016|Peritonitis|,,,,,,,,,,,,
NCT02750826|Alliance for Clinical Trials in Oncology|Active, not recruiting|Aug 2016||Interventional|Apr 2016|Breast Neoplasms,Weight Loss|,,,,,,,,,,
NCT02750631|New York State Psychiatric Institute|Completed|Apr 2014|Jul 2017|Interventional|Apr 2016|Depression,Depressive Disorder|,,,,,,,,,,,
